station_zone,station_id,level_code,latitude,longitude,depth,tara_nitrate,ebi_nitrate,darwin_nitrate,nitrate,tara_temperature,ebi_temperature,temperature,tara_salinity_level,ebi_salinity_level,salinity,tara_oxygen_level,ebi_oxygen_level,darwin_oxygen_level,oxygen,darwin_alkalinity
Station125_MIX,Station125,MIX,-8.89921904761905,-142.577162698413,141.031746031746,6.1926619047619,3.8708114,NA,6.1926619047619,26.764330952381,23.4698572,26.764330952381,35.6059817460317,36.2372658,35.6059817460317,172.940546031746,160.1850281,NA,172.940546031746,NA
Station125_SUR,Station125,SUR,-8.904984,-142.5797664,5,5.2555096,5.2995824,5.219904,5.2555096,26.8174192,26.8069255,26.8174192,35.592468,35.4261331,35.592468,187.5572272,187.4493332,203.37424,187.5572272,1990.16
Station137_DCM,Station137,DCM,14.1894915966387,-116.688234453782,72.3109243697479,4.0332512605042,21.9695066666667,3.906346,4.0332512605042,23.3903949579832,13.3711553333333,23.3903949579832,34.4365050420168,34.689613,34.4365050420168,163.706757983193,15.3904263333333,227.45602,163.706757983193,1942.4027
Station137_MES,Station137,MES,14.2025,-116.6433,375.450704225352,6.8149,35.716708,NA,6.8149,20.3374,8.911481,20.3374,34.5546,34.586699,34.5546,117.5948,0.628413,NA,117.5948,NA
Station137_SUR,Station137,SUR,14.1957846153846,-116.64815,5,3.29592,3.08479614285714,3.500513,3.29592,26.413,26.4276714285714,26.413,34.03754,33.8794844285714,34.03754,195.29204,195.188488428571,206.62636,195.29204,1923.4772
Station138_DCM,Station138,DCM,6.3347626984127,-102.992092063492,60,7.70930714285714,22.1052862857143,14.2324179761905,7.70930714285714,22.1412333333333,18.7196861428571,22.1412333333333,34.6771595238095,34.611335,34.6771595238095,122.664266666667,68.4515788571429,157.14770047619,122.664266666667,2082.31358095238
Station138_MES,Station138,MES,6.35604444444444,-103.060166666667,450.888888888889,7.5103,36.886053,NA,7.5103,21.0878,8.210557,21.0878,34.7472,34.608434,34.7472,100.5283,0.78015,NA,100.5283,NA
Station138_SUR,Station138,SUR,6.3304,-102.947333043478,5,0.373431043478261,-0.830098285714286,2.672438,0.373431043478261,26.6765069565217,26.6377071428571,26.6765069565217,33.6334582608696,33.3886537142857,33.6334582608696,196.849459130435,196.806345142857,206.38048,196.849459130435,1926.6057
Station155_DCM,Station155,DCM,54.5223466019417,-16.725986407767,40,7.78229417475728,6.951238,15.5948359902913,7.78229417475728,10.9295747572816,10.79018,10.9295747572816,35.5091563106796,35.33502,35.5091563106796,263.726666990291,266.369875,280.181233980583,263.726666990291,2155.23667669903
Station155_MES,Station155,MES,54.5742,-16.8345,750.904761904762,14.2033,13.716288,NA,14.2033,8.5333,8.923581,8.5333,35.5716,35.40565,35.5716,189.7795,208.76175,NA,189.7795,NA
Station155_SUR,Station155,SUR,54.5302619469027,-16.8715601769911,4.95575221238938,3.45214910714286,4.449490625,14.6695542477876,3.55150840707965,11.041225,11.09529125,11.041225,35.4774339285714,35.32448875,35.4774339285714,266.534383928571,271.326671875,281.62767079646,266.668643362832,2153.33002654867
Station158_DCM,Station158,DCM,67.1616970588235,0.412408823529412,25,2.4548,7.947163,13.8684348235294,2.4548,6.9754,6.7255,6.9754,35.3081,35.149405,35.3081,319.9979,304.26005,306.78005,319.9979,2197.24679411765
Station158_MES,Station158,MES,67.1675,0.2177,650.909090909091,12.453,14.950381,NA,12.453,-0.12012,0.22498,-0.12012,35.065,34.90349,35.065,293.768,295.31095,NA,293.768,NA
Station158_SUR,Station158,SUR,67.1356025423729,0.284483050847458,4.75423728813559,4.9325495412844,5.21995,13.366856,5.57584410169492,7.24517431192661,8.48667,7.24517431192661,35.3087183486239,35.14372,35.3087183486239,314.076317431193,311.9179,301.13156,313.089005423729,2194.1304
Station163_MES,Station163,MES,76.1246,1.3648,499.090909090909,10.7621,13.010683,NA,10.7621,0.013771,0.099535,0.013771,35.1091,34.94578,35.1091,312.9463,315.37205,NA,312.9463,NA
Station163_SUR,Station163,SUR,76.1712739130435,1.51018956521739,4.74782608695652,4.1099,4.72754,13.0289709391304,4.8081615826087,1.9546,1.901825,1.9546,35.0584,34.888288,35.0584,362.9876,363.047375,362.4359,362.961929391304,2201.49404956522
Station168_DCM,Station168,DCM,72.5485396039604,44.1083782178218,40,-3.64739702970297,-3.888729,14.84214,-3.64739702970297,5.88279108910891,3.824545,5.88279108910891,35.1394148514851,34.976035,35.1394148514851,313.457491089109,326.5136,344.00974,313.457491089109,2173.1902
Station168_MIX,Station168,MIX,72.5239296703297,44.0605571428571,53.2967032967033,-4.43198571428571,-0.892764571428571,12.643027989011,-4.43198571428571,7.61064285714286,3.14956571428571,7.61064285714286,35.0876285714286,34.9779607142857,35.0876285714286,299.2569,303.05815,326.080615934066,299.2569,2161.18549450549
Station168_SUR,Station168,SUR,72.5513111111111,44.1004512820513,4.95726495726496,-4.02805652173913,-4.721995,12.623917,-0.618198179487179,7.2250652173913,7.53177,7.22836311827957,35.0986260869565,34.92306,35.0967382795699,300.346882608696,298.8549,325.57355,305.508831623932,2160.924
Station173_DCM,Station173,DCM,78.9362350649351,79.0892961038961,34.6623376623377,6.0883,4.77339866666667,15.213918,6.0883,-1.3022,-1.29906616666667,-1.3022,34.5919,34.455798,34.5919,352.0384,348.480395833333,361.8334,352.0384,2179.3906
Station173_SUR,Station173,SUR,78.9487268518519,79.3822935185185,5,3.742,2.40637,14.955015,3.742,-0.4215,-0.083125,-0.4215,33.6882,33.595737,33.6882,390.2795,383.163125,368.3702,390.2795,2178.1355
Station175_MIX,Station175,MIX,79.3590028571429,66.2799857142857,53.3809523809524,NA,NA,14.8472313333333,14.8472313333333,1.668425,1.05454357142857,1.521045,34.504835,34.6759014285714,34.54581,386.70389,317.112578571429,369.321295619048,369.572018571429,2181.45566190476
Station175_SUR,Station175,SUR,79.2189126126126,66.4047477477477,4.95495495495495,4.15434636363636,2.060443,14.8492331081081,4.2508865045045,1.17458363636364,1.421805,1.17458363636364,34.4261563636364,34.2633,34.4261563636364,376.168923636364,368.906875,369.501147027027,376.108487387387,2181.44752702703
Station175_ZZZ,Station175,ZZZ,77.8343634782609,65.3090339130435,164.939130434783,10.430638317757,11.691602,15.1855283225806,10.5615237818182,1.29274424778761,1.47689,1.29274424778761,35.0575743362832,34.8814,35.0575743362832,291.746977876106,296.228,361.975872903226,291.746977876106,2181.87249677419
