sample_id,station_id,latitude,longitude,level_code,tara_nitrate_level,ebi_nitrate_level,darwin_nitrate_level,nitrate_level,tara_temperature,ebi_temperature,temperature,tara_salinity_level,ebi_salinity_level,salinity_level,tara_oxygen_level,ebi_oxygen_level,darwin_oxygen_level,oxygen_level,darwin_alkalinity
TARA_G100000968,TARA_034,18.3967,39.8767,SRF,0.051463,,17.985404,0.051463,27.611000,,27.611000,38.829000,,38.829000,184.244500,,198.869860,184.244500,1982.632000
TARA_G100000977,TARA_034,18.3967,39.8750,SRF,0.051463,,17.985404,0.051463,27.611000,,27.611000,38.829000,,38.829000,184.244500,,198.869860,184.244500,1982.632000
TARA_G100001431,TARA_052,-16.9567,53.9809,SRF,0.000000,,11.756601,11.756601,27.883700,,27.883700,34.730500,,34.730500,192.347700,,202.874510,192.347700,1961.899200
TARA_G100001528,TARA_046,-0.6625,73.1611,SRF,0.358050,,13.803932,0.358050,30.120900,,30.120900,35.277400,,35.277400,184.874900,,197.496320,184.874900,1954.356900
TARA_G100001976,TARA_066,-34.9449,17.9189,SRF,2.384800,,14.088745,2.384800,15.028500,,15.028500,35.489900,,35.489900,238.929900,,242.565550,238.929900,1994.753800
TARA_G100001995,TARA_066,-34.9449,17.9189,SRF,2.384800,,14.088745,2.384800,15.028500,,15.028500,35.489900,,35.489900,238.929900,,242.565550,238.929900,1994.753800
TARA_G100001998,TARA_066,-34.9449,17.9189,SRF,2.384800,,14.088745,2.384800,15.028500,,15.028500,35.489900,,35.489900,238.929900,,242.565550,238.929900,1994.753800
TARA_G100002045,TARA_066,-34.9363,17.9366,SRF,2.384800,,14.088745,2.384800,15.028500,,15.028500,35.489900,,35.489900,238.929900,,242.565550,238.929900,1994.753800
TARA_G100002096,TARA_070,-20.4035,-3.1859,SRF,0.297120,,14.491161,0.297120,19.777800,,19.777800,36.547700,,36.547700,215.371100,,232.221660,215.371100,1937.420800
TARA_G100002104,TARA_070,-20.4035,-3.1859,SRF,0.297120,,14.491161,0.297120,19.777800,,19.777800,36.547700,,36.547700,215.371100,,232.221660,215.371100,1937.420800
